Desert,Fox
Arctic,Cat
Tropical,Jaguar
Amazon,Leopard
Ocean,Wolf
Sea,Panther
Plain,Elephant
Prarie,Baracuda
Mountain,Tiger
Stratus,Lion
Nimbus,Deer
Sky,Buck
Martian,Hare
Jovian,Rabbit
Venusian,Bunny
Persian,Rihno
Easter,Hippo
Northern,Cheetah
Astral,Shark
Royal,Octopus
Andromeda,Doe
Orion,Fennec
Urban,Baboon
Tundra,Macaque
Arid,Chimpanzee
Temparate,Gecko
Timid,Lizard
Wild,Bird
Ranch,Mandala
Snow,Stag
Solar,Bear
Lunar,Ram
Red,Ferret
Blue,Otter
Green,Raven
Concrete,Hog
Stone,Gorilla
Polar,Parrot
Atlantic,Heron
Fridgid,Coyote
Dire,Scorpion
Forest,Croc
Mangrove,Boar
Rigid,Squid
Glacier,Racoon
Sahara,Cobra
Andes,Hound
Himalayan,Albatross
Mustard,Ape
Mercurial,Antelope
Pacific,Armadillo
Riot,Badger
Hell,Beaver
Alley,Bison
Astro,Buffalo
Volt,Crane
Valley,Crow
Creek,Crab
Taiga,Dove
Ether,Dragonfly
Terran,Dragon
Alpha,Eagle
Lambda,Seal
Epsilon,Husky
Gamma,Falcon
Marine,Gazelle
High,Finch
Gliding,Goose
Orbital,Grasshopper
Terrestrial,Gull
Kryptonian,Hawk
Pandoran,Herring
Paradox,Hornet
Nazcan,Hummer
Peruvian,Hummingbird
Canyon,Hyena
Sand,Ibex
Silicon,Koala
Prometheus,Komodo
Pearl,Kangaroo
Onyx,Lark
Coral,Lemur
Obsidian,Locust
Space,Magpie
Ivory,Mammoth
Rowdy,Mullard
Crimson,Mandrill
Violet,Mink
Vermillion,Moose
Rocket,Narwhal
Lead,Owl
Graphite,Oyester
Opal,Pelican
Iron,Quail
Jet,Salmon
Ruby,Salamander
Bone,Sardine
Field,Swan
Titan,Toad
Titanium,Wasp
Chrome,Walrus
Zinc,Wolverine
Granet,Wren
Emarald,Yak
Diamond,Zebra
Jade,Edge
Rush,Yeti
Reef,Cougar
Storm,Rhythm
Rage,Tornado